.497363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3668798011527925, 2.3285271190942174, -0.6871006042558452], limiar atualizado: -2.477363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4819258011527943, 2.4135791190942104, -0.7316426042558437], limiar atualizado: -2.897363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4810678011527942, 2.4228991190942106, -0.6229966042558437], limiar atualizado: -2.917363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4723878011527942, 2.4091591190942108, -0.7875706042558437], limiar atualizado: -2.897363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4766758011527943, 2.4241891190942106, -0.6441726042558437], limiar atualizado: -2.917363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4687618011527943, 2.4220371190942105, -0.7574186042558436], limiar atualizado: -2.897363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4727858011527943, 2.4272591190942103, -0.6481566042558436], limiar atualizado: -2.917363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5017698011527942, 2.4094671190942103, -0.7361666042558437], limiar atualizado: -2.897363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5009118011527942, 2.4187871190942105, -0.6275206042558437], limiar atualizado: -2.917363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4922318011527942, 2.4050471190942107, -0.7920946042558437], limiar atualizado: -2.897363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4965198011527943, 2.4200771190942105, -0.6486966042558436], limiar atualizado: -2.917363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4886058011527943, 2.4179251190942104, -0.7619426042558436], limiar atualizado: -2.897363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4926298011527943, 2.42314711909421, -0.6526806042558436], limiar atualizado: -2.917363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5216138011527942, 2.40535511909421, -0.7406906042558437], limiar atualizado: -2.897363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5207558011527942, 2.4146751190942104, -0.6320446042558436], limiar atualizado: -2.917363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.5120758011527942, 2.4009351190942105, -0.7966186042558436], limiar atualizado: -2.897363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.5163638011527942, 2.4159651190942104, -0.6532206042558436], limiar atualizado: -2.917363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5084498011527943, 2.4138131190942103, -0.7664666042558436], limiar atualizado: -2.897363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5124738011527943, 2.41903511909421, -0.6572046042558436], limiar atualizado: -2.917363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5045598011527943, 2.41688311909421, -0.7704506042558436], limiar atualizado: -2.897363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5085838011527943, 2.42210511909421, -0.6611886042558436], limiar atualizado: -2.917363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5006698011527944, 2.4199531190942096, -0.7744346042558435], limiar atualizado: -2.897363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5046938011527944, 2.4251751190942095, -0.6651726042558436], limiar atualizado: -2.917363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4967798011527944, 2.4230231190942093, -0.7784186042558435], limiar atualizado: -2.897363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5008038011527944, 2.428245119094209, -0.6691566042558436], limiar atualizado: -2.917363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4605058011527945, 2.415861119094209, -0.8876826042558436], limiar atualizado: -2.897363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4645298011527945, 2.421083119094209, -0.7784206042558436], limiar atualizado: -2.917363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4636718011527945, 2.4304031190942093, -0.6697746042558436], limiar atualizado: -2.937363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4233738011527945, 2.4180191190942093, -0.8883006042558436], limiar atualizado: -2.917363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4273978011527946, 2.423241119094209, -0.7790386042558436], limiar atualizado: -2.937363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4265398011527946, 2.4325611190942094, -0.6703926042558436], limiar atualizado: -2.957363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.3862418011527946, 2.4201771190942094, -0.8889186042558436], limiar atualizado: -2.937363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3902658011527946, 2.4253991190942092, -0.7796566042558436], limiar atualizado: -2.957363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3894078011527946, 2.4347191190942095, -0.6710106042558436], limiar atualizado: -2.9773635351218792
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4183918011527945, 2.4169271190942094, -0.7590206042558436], limiar atualizado: -2.957363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4175338011527945, 2.4262471190942096, -0.6503746042558436], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4096198011527945, 2.4240951190942095, -0.7636206042558435], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4136438011527945, 2.4293171190942093, -0.6543586042558436], limiar atualizado: -2.9773635351218792
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4426278011527944, 2.4115251190942093, -0.7423686042558436], limiar atualizado: -2.957363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4417698011527944, 2.4208451190942095, -0.6337226042558436], limiar atualizado: -2.9773635351218792
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4330898011527944, 2.4071051190942097, -0.7982966042558436], limiar atualizado: -2.957363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4373778011527945, 2.4221351190942095, -0.6548986042558436], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4294638011527945, 2.4199831190942094, -0.7681446042558435], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4334878011527945, 2.425205119094209, -0.6588826042558436], limiar atualizado: -2.9773635351218792
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4624718011527944, 2.407413119094209, -0.7468926042558436], limiar atualizado: -2.957363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4616138011527944, 2.4167331190942094, -0.6382466042558436], limiar atualizado: -2.9773635351218792
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4529338011527944, 2.4029931190942095, -0.8028206042558436], limiar atualizado: -2.957363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.4602418011527944, 2.4239431190942096, -0.6531046042558435], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4523278011527945, 2.4217911190942094, -0.7663506042558434], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4563518011527945, 2.4270131190942092, -0.6570886042558435], limiar atualizado: -2.9773635351218792
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4853358011527944, 2.409221119094209, -0.7450986042558435], limiar atualizado: -2.957363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4844778011527944, 2.4185411190942094, -0.6364526042558435], limiar atualizado: -2.9773635351218792
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4757978011527944, 2.4048011190942096, -0.8010266042558435], limiar atualizado: -2.957363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4800858011527944, 2.4198311190942094, -0.6576286042558435], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4721718011527944, 2.4176791190942093, -0.7708746042558434], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4761958011527945, 2.422901119094209, -0.6616126042558435], limiar atualizado: -2.9773635351218792
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5051798011527944, 2.405109119094209, -0.7496226042558435], limiar atualizado: -2.957363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5043218011527943, 2.4144291190942093, -0.6409766042558435], limiar atualizado: -2.9773635351218792
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4956418011527943, 2.4006891190942095, -0.8055506042558435], limiar atualizado: -2.957363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.5029498011527944, 2.4216391190942095, -0.6558346042558434], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4950358011527944, 2.4194871190942093, -0.7690806042558433], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4990598011527945, 2.424709119094209, -0.6598186042558434], limiar atualizado: -2.9773635351218792
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5280438011527944, 2.406917119094209, -0.7478286042558434], limiar atualizado: -2.957363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5271858011527943, 2.4162371190942094, -0.6391826042558434], limiar atualizado: -2.9773635351218792
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.5185058011527943, 2.4024971190942095, -0.8037566042558434], limiar atualizado: -2.957363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.5227938011527944, 2.4175271190942094, -0.6603586042558434], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5148798011527944, 2.415375119094209, -0.7736046042558433], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5189038011527944, 2.420597119094209, -0.6643426042558433], limiar atualizado: -2.9773635351218792
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5478878011527943, 2.402805119094209, -0.7523526042558434], limiar atualizado: -2.957363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5470298011527943, 2.4121251190942092, -0.6437066042558434], limiar atualizado: -2.9773635351218792
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.5383498011527943, 2.3983851190942094, -0.8082806042558434], limiar atualizado: -2.957363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.5456578011527944, 2.4193351190942094, -0.6585646042558433], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5377438011527944, 2.4171831190942092, -0.7718106042558432], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5417678011527944, 2.422405119094209, -0.6625486042558433], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5338538011527945, 2.420253119094209, -0.7757946042558432], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5378778011527945, 2.4254751190942088, -0.6665326042558433], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5299638011527945, 2.4233231190942086, -0.7797786042558432], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5339878011527945, 2.4285451190942084, -0.6705166042558433], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5260738011527946, 2.4263931190942083, -0.7837626042558432], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5300978011527946, 2.431615119094208, -0.6745006042558432], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5221838011527946, 2.429463119094208, -0.7877466042558432], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5262078011527946, 2.434685119094208, -0.6784846042558432], limiar atualizado: -2.9773635351218792
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5182938011527947, 2.4325331190942077, -0.7917306042558432], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5223178011527947, 2.4377551190942075, -0.6824686042558432], limiar atualizado: -2.9773635351218792
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4820198011527947, 2.4253711190942076, -0.9009946042558432], limiar atualizado: -2.957363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4860438011527948, 2.4305931190942074, -0.7917326042558432], limiar atualizado: -2.9773635351218792
Erro na linha 3: y=-1, d=1.0, pesos atualizados: [1.4912958011527948, 2.4535451190942075, -0.6357626042558433], limiar atualizado: -2.9973635351218793
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4826158011527948, 2.4398051190942076, -0.8003366042558433], limiar atualizado: -2.9773635351218792
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4869038011527949, 2.4548351190942075, -0.6569386042558433], limiar atualizado: -2.9973635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4789898011527949, 2.4526831190942073, -0.7701846042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.483013801152795, 2.457905119094207, -0.6609226042558433], limiar atualizado: -2.9973635351218793
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5119978011527948, 2.440113119094207, -0.7489326042558433], limiar atualizado: -2.9773635351218792
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5111398011527948, 2.4494331190942074, -0.6402866042558433], limiar atualizado: -2.9973635351218793
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.5024598011527948, 2.4356931190942075, -0.8048606042558433], limiar atualizado: -2.9773635351218792
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.5067478011527948, 2.4507231190942074, -0.6614626042558432], limiar atualizado: -2.9973635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4988338011527949, 2.448571119094207, -0.7747086042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5028578011527949, 2.453793119094207, -0.6654466042558432], limiar atualizado: -2.9973635351218793
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5318418011527948, 2.436001119094207, -0.7534566042558433], limiar atualizado: -2.9773635351218792
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5309838011527948, 2.4453211190942072, -0.6448106042558432], limiar atualizado: -2.9973635351218793
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.5223038011527947, 2.4315811190942074, -0.8093846042558432], limiar atualizado: -2.9773635351218792
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.5265918011527948, 2.4466111190942073, -0.6659866042558432], limiar atualizado: -2.9973635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5186778011527948, 2.444459119094207, -0.7792326042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5227018011527949, 2.449681119094207, -0.6699706042558432], limiar atualizado: -2.9973635351218793
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.5516858011527948, 2.431889119094207, -0.7579806042558432], limiar atualizado: -2.9773635351218792
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.5508278011527947, 2.441209119094207, -0.6493346042558432], limiar atualizado: -2.9973635351218793
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.5421478011527947, 2.4274691190942073, -0.8139086042558432], limiar atualizado: -2.9773635351218792
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.5494558011527948, 2.4484191190942073, -0.6641926042558433], limiar atualizado: -2.9973635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5415418011527948, 2.446267119094207, -0.7774386042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.5455658011527948, 2.451489119094207, -0.6681766042558432], limiar atualizado: -2.9973635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.5376518011527949, 2.449337119094207, -0.7814226042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.541675801152795, 2.4545591190942067, -0.6721606042558432], limiar atualizado: -2.9973635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.533761801152795, 2.4524071190942065, -0.7854066042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.537785801152795, 2.4576291190942063, -0.6761446042558432], limiar atualizado: -2.9973635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.529871801152795, 2.455477119094206, -0.7893906042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.533895801152795, 2.460699119094206, -0.6801286042558432], limiar atualizado: -2.9973635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.525981801152795, 2.458547119094206, -0.7933746042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.530005801152795, 2.4637691190942057, -0.6841126042558432], limiar atualizado: -2.9973635351218793
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.489707801152795, 2.4513851190942058, -0.9026386042558432], limiar atualizado: -2.9773635351218792
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4937318011527951, 2.4566071190942056, -0.7933766042558432], limiar atualizado: -2.9973635351218793
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.492873801152795, 2.465927119094206, -0.6847306042558432], limiar atualizado: -3.0173635351218793
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4525758011527952, 2.453543119094206, -0.9032566042558432], limiar atualizado: -2.9973635351218793
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4565998011527952, 2.4587651190942057, -0.7939946042558432], limiar atualizado: -3.0173635351218793
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4557418011527952, 2.468085119094206, -0.6853486042558432], limiar atualizado: -3.0373635351218793
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4154438011527952, 2.455701119094206, -0.9038746042558432], limiar atualizado: -3.0173635351218793
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4194678011527952, 2.460923119094206, -0.7946126042558432], limiar atualizado: -3.0373635351218793
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4186098011527952, 2.470243119094206, -0.6859666042558432], limiar atualizado: -3.0573635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4106958011527952, 2.468091119094206, -0.7992126042558432], limiar atualizado: -3.0373635351218793
Erro na linha 27: y=-1, d=1.0, pesos atualizados: [1.4596598011527953, 2.487001119094206, -0.5750226042558432], limiar atualizado: -3.0573635351218793
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.4193618011527953, 2.474617119094206, -0.7935486042558432], limiar atualizado: -3.0373635351218793
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4233858011527953, 2.4798391190942057, -0.6842866042558432], limiar atualizado: -3.0573635351218793
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4523698011527952, 2.4620471190942057, -0.7722966042558432], limiar atualizado: -3.0373635351218793
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4515118011527952, 2.471367119094206, -0.6636506042558432], limiar atualizado: -3.0573635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4435978011527952, 2.4692151190942058, -0.7768966042558432], limiar atualizado: -3.0373635351218793
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4476218011527953, 2.4744371190942056, -0.6676346042558432], limiar atualizado: -3.0573635351218793
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4766058011527952, 2.4566451190942056, -0.7556446042558432], limiar atualizado: -3.0373635351218793
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4808938011527952, 2.4716751190942055, -0.6122466042558432], limiar atualizado: -3.0573635351218793
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4729798011527953, 2.4695231190942053, -0.7254926042558432], limiar atualizado: -3.0373635351218793
Pesos finais:  [1.4729798011527953, 2.4695231190942053, -0.7254926042558432]
Épocas:  375
italovinicius@MacBook-Air-de-Italo Perceptron % 
